,HS4,Tariff,Scope
0,4009,Applied,Auto Parts
1,4011,Applied,Auto Parts
2,4012,Applied,Auto Parts
3,4013,Applied,Auto Parts
4,4016,Applied,Auto Parts
5,4080,Applied,Auto Parts
0,6603,Applied,Aluminum
6,7007,Applied,Auto Parts
7,7009,Applied,Auto Parts
0,7206,Applied,Steel
1,7207,Applied,Steel
2,7208,Applied,Steel
3,7209,Applied,Steel
4,7210,Applied,Steel
5,7211,Applied,Steel
6,7212,Applied,Steel
7,7213,Applied,Steel
8,7214,Applied,Steel
9,7215,Applied,Steel
10,7216,Applied,Steel
11,7217,Applied,Steel
12,7218,Applied,Steel
13,7219,Applied,Steel
14,7220,Applied,Steel
15,7221,Applied,Steel
16,7222,Applied,Steel
17,7223,Applied,Steel
18,7224,Applied,Steel
19,7225,Applied,Steel
20,7226,Applied,Steel
21,7227,Applied,Steel
22,7228,Applied,Steel
23,7229,Applied,Steel
24,7301,Applied,Steel
25,7302,Applied,Steel
26,7304,Applied,Steel
27,7305,Applied,Steel
28,7306,Applied,Steel
29,7307,Applied,Steel
30,7308,Applied,Steel
31,7309,Applied,Steel
32,7310,Applied,Steel
33,7311,Applied,Steel
34,7312,Applied,Steel
35,7313,Applied,Steel
36,7314,Applied,Steel
37,7315,Applied,Steel
38,7316,Applied,Steel
39,7317,Applied,Steel
40,7318,Applied,Steel
41,7319,Applied,Steel
42,7320,Applied,Steel
8,7320,Applied,Auto Parts
43,7321,Applied,Steel
44,7322,Applied,Steel
45,7323,Applied,Steel
46,7324,Applied,Steel
47,7325,Applied,Steel
48,7326,Applied,Steel
1,7601,Applied,Aluminum
2,7604,Applied,Aluminum
3,7605,Applied,Aluminum
4,7606,Applied,Aluminum
5,7607,Applied,Aluminum
6,7608,Applied,Aluminum
7,7609,Applied,Aluminum
8,7610,Applied,Aluminum
9,7614,Applied,Aluminum
10,7615,Applied,Aluminum
11,7616,Applied,Aluminum
9,8301,Applied,Auto Parts
12,8302,Applied,Aluminum
10,8302,Applied,Auto Parts
13,8305,Applied,Aluminum
14,8306,Applied,Aluminum
11,8407,Applied,Auto Parts
12,8408,Applied,Auto Parts
13,8409,Applied,Auto Parts
14,8413,Applied,Auto Parts
15,8414,Applied,Auto Parts
15,8414,Applied,Aluminum
16,8415,Applied,Auto Parts
16,8415,Applied,Aluminum
17,8418,Applied,Aluminum
18,8419,Applied,Aluminum
17,8421,Applied,Auto Parts
19,8422,Applied,Aluminum
20,8424,Applied,Aluminum
18,8425,Applied,Auto Parts
19,8426,Applied,Auto Parts
20,8431,Applied,Auto Parts
49,8431,Applied,Steel
50,8432,Applied,Steel
21,8471,Applied,Auto Parts
21,8473,Applied,Aluminum
22,8479,Applied,Aluminum
23,8481,Applied,Aluminum
22,8482,Applied,Auto Parts
23,8483,Applied,Auto Parts
24,8486,Applied,Aluminum
25,8487,Applied,Aluminum
26,8500,Applied,Aluminum
24,8501,Applied,Auto Parts
27,8503,Applied,Aluminum
25,8507,Applied,Auto Parts
28,8508,Applied,Aluminum
26,8511,Applied,Auto Parts
27,8512,Applied,Auto Parts
29,8513,Applied,Aluminum
30,8515,Applied,Aluminum
31,8516,Applied,Aluminum
32,8517,Applied,Aluminum
28,8519,Applied,Auto Parts
29,8525,Applied,Auto Parts
30,8527,Applied,Auto Parts
33,8529,Applied,Aluminum
34,8536,Applied,Aluminum
31,8536,Applied,Auto Parts
32,8537,Applied,Auto Parts
35,8538,Applied,Aluminum
33,8539,Applied,Auto Parts
36,8541,Applied,Aluminum
37,8543,Applied,Aluminum
34,8544,Applied,Auto Parts
51,8547,Applied,Steel
38,8547,Applied,Aluminum
39,8585,Applied,Aluminum
40,8701,Applied,Aluminum
0,8703,Applied,Automotive
1,8704,Applied,Automotive
41,8705,Applied,Aluminum
35,8706,Applied,Auto Parts
36,8707,Applied,Auto Parts
42,8708,Applied,Aluminum
37,8708,Applied,Auto Parts
38,8716,Applied,Auto Parts
43,8716,Applied,Aluminum
44,8807,Applied,Aluminum
45,8885,Applied,Aluminum
46,9000,Applied,Aluminum
47,9010,Applied,Aluminum
39,9010,Applied,Auto Parts
48,9013,Applied,Aluminum
40,9015,Applied,Auto Parts
49,9015,Applied,Aluminum
50,9020,Applied,Aluminum
41,9029,Applied,Auto Parts
51,9031,Applied,Aluminum
52,9040,Applied,Aluminum
53,9045,Applied,Aluminum
54,9060,Applied,Aluminum
55,9080,Applied,Aluminum
56,9081,Applied,Aluminum
57,9085,Applied,Aluminum
58,9090,Applied,Aluminum
59,9401,Applied,Aluminum
42,9401,Applied,Auto Parts
60,9403,Applied,Aluminum
52,9403,Applied,Steel
53,9405,Applied,Steel
61,9405,Applied,Aluminum
54,9406,Applied,Steel
62,9506,Applied,Aluminum
63,9507,Applied,Aluminum
64,9520,Applied,Aluminum
65,9596,Applied,Aluminum
66,9599,Applied,Aluminum
67,9603,Applied,Aluminum
