,Section No.,Chapter Range,Section Title,Example,InitRange,FinalRange
0,I,01 - 05,Live Animals; Animal Products,"Cattle, fish, dairy, eggs",01,05
1,II,06 - 14,Vegetable Products,"Fruits, vegetables, coffee, cereals",06,14
2,III,15,Animal or Vegetable Fats and Oils,"Soybean oil, butter, margarine",15,15
3,IV,16 - 24,Prepared Foodstuffs; Beverages; Tobacco,"Soft drinks, biscuits, tobacco",16,24
4,V,25 - 27,Mineral Products,"Salt, coal, crude oil",25,27
5,VI,28 - 38,Chemicals and Allied Industries,"Fertilizers, paints, perfumes",28,38
6,VII,39 - 40,Plastics and Rubber,"Plastic packaging, rubber tyres",39,40
7,VIII,41 - 43,"Raw Hides, Skins, Leather, and Furskins","Leather hides, fur skins",41,43
8,IX,44 - 46,Wood and Articles of Wood,"Plywood, wooden furniture",44,46
9,X,47 - 49,Pulp of Wood; Paper; Printing Industry Products,"Newsprint, books, cartons",47,49
10,XI,50 - 63,Textiles and Textile Articles,"Garments, fabrics, carpets",50,63
11,XII,64 - 67,"Footwear, Headgear, Umbrellas","Shoes, helmets, umbrellas",64,67
12,XIII,68 - 70,"Articles of Stone, Cement, Ceramic, and Glass","Tiles, ceramic ware, glassware",68,70
13,XIV,71,"Pearls, Precious Stones and Metals","Gold, diamonds, jewelry",71,71
14,XV,72 - 83,Base Metals and Articles of Base Metal,"Iron rods, copper wires, tools",72,83
15,XVI,84 - 85,Machinery and Electrical Equipment,"Laptops, motors, washing machines",84,85
16,XVII,86 - 89,"Vehicles, Aircraft, and Vessels","Cars, airplanes, ships",86,89
17,XVIII,90 - 92,"Optical, Precision, Medical Instruments","Cameras, microscopes, X-ray machines",90,92
18,XIX,93,Arms and Ammunition,"Rifles, pistols, military equipment",93,93
19,XX,94 - 96,Miscellaneous Manufactured Articles,"Toys, furniture, kitchenware",94,96
20,XXI,97 - 99,"Works of Art, Collectors’ Pieces, and Special Transactions","Paintings, antiques, special codes",97,99
