,Section Title,Applied,Not Applied
3,Base Metals and Articles of Base Metal,64,84
7,Machinery and Electrical Equipment,45,89
18,"Vehicles, Aircraft, and Vessels",9,31
9,Miscellaneous Manufactured Articles,7,25
10,"Optical, Precision, Medical Instruments",6,47
12,Plastics and Rubber,5,38
2,"Articles of Stone, Cement, Ceramic, and Glass",2,45
5,"Footwear, Headgear, Umbrellas",1,18
4,Chemicals and Allied Industries,0,179
16,Textiles and Textile Articles,0,152
17,Vegetable Products,0,77
8,Mineral Products,0,66
13,Prepared Foodstuffs; Beverages; Tobacco,0,57
6,Live Animals; Animal Products,0,44
14,Pulp of Wood; Paper; Printing Industry Products,0,40
19,Wood and Articles of Wood,0,27
0,Animal or Vegetable Fats and Oils,0,21
15,"Raw Hides, Skins, Leather, and Furskins",0,20
11,"Pearls, Precious Stones and Metals",0,18
1,Arms and Ammunition,0,7
20,"Works of Art, Collectors’ Pieces, and Special Transactions",0,7
